문화시설명,주제분류,문화분류,주소,자치구,행정동명,행정동ID_8자리,위도,경도,무료여부,관람시간,휴관일,객석수,전화번호,홈페이지,매칭거리_m,매칭품질
하라스튜디오,기타,기타문화,서울특별시 금천구 가산디지털1로 181 가산w센터 B218호,금천구,가산동,11180510,37.4814249861909,126.880393604209,유료,,홈페이지 참조,,02-6281-6776,http://harastudio.co.kr,112.6,양호
금천뮤지컬센터,공연장,공연시설,서울특별시 금천구 시흥대로115길 48,금천구,독산제1동,11180520,37.468777055274,126.894474890365,무료,,"매주 일요일 정기휴무, 공휴일",,02-2627-1446,http://gcfac.or.kr,57.7,양호
금천예술공장,기타,기타문화,서울특별시 금천구 범안로15길 57,금천구,독산제1동,11180520,37.4688247596721,126.891928199853,무료,,없음,,02-807-4747,http://www.sfac.or.kr/artspace/artspace/geumcheon_main.do,71.1,양호
문화정원아트홀,공연장,공연시설,서울특별시 금천구 가산로 61 지하1층,금천구,독산제1동,11180520,37.4718013047734,126.896008983523,유료,,연중무휴,,02-839-1155,http://www.cgarthall.co.kr/xe/,52.3,양호
서울시립 서서울미술관,미술관/갤러리,전시시설,서울 금천구 시흥대로79길 65 (독산동)서울시립 서서울미술관,금천구,독산제1동,11180520,37.4580752536422,126.894935931812,무료,,매주 월요일,,02-2124-5800,https://sema.seoul.go.kr/kr/visit/seoseoul,27.3,양호
참새작은도서관,도서관,도서관,서울 금천구 한내로 69-15 금천한내복지관 3층,금천구,독산제1동,11180520,37.4573808551633,126.886472547107,무료,,"매주 일요일, 월요일, 공휴일",,02-2104-5765,https://geumcheonlib.seoul.kr/,85.0,양호
금천구립독산도서관,도서관,도서관,서울특별시 금천구 독산로54길 114,금천구,독산제4동,11180550,37.4675801864797,126.908105892677,무료,,"매월 첫번째, 세번째 월요일과 법정공휴일",,02-863-9544,https://geumcheonlib.seoul.kr/geumcheonlib/uce/content/contentList.do?selfId=1119,49.9,양호
금나래갤러리,기타,기타문화,서울특별시 금천구 시흥대로73길 70 금나래아트홀 1층,금천구,시흥제1동,11180570,37.45657850809659,126.89597253576768,무료,,매주 일요일 휴무,,02-2627-2989,https://gcfac.or.kr/rental/overallCalendar?gcfac_menu_cd=U0114,76.0,양호
금나래아트홀,문화예술회관,공연시설,서울특별시 금천구 시흥대로73길 70,금천구,시흥제1동,11180570,37.45657850809659,126.89597253576768,무료,,"일요일, 공휴일",,02-2627-2999,https://gcfac.or.kr/mpage,76.0,양호
금천구립금나래도서관,도서관,도서관,서울특별시 금천구 시흥대로73길 70,금천구,시흥제1동,11180570,37.4570656519531,126.896036850324,무료,"평일 | 07:00 ~ 22:00, 주말 | 07:00 ~ 22:00",매월 마지막주 일요일과 법정공휴일,,02-2627-2991,https://geumcheonlib.seoul.kr/geumcheonlib/uce/content/contentList.do?selfId=1121,94.7,양호
금천구립시흥도서관,도서관,도서관,서울 금천구 금하로 764 금천종합복지타운(시흥2동주민센터),금천구,시흥제2동,11180580,37.4496319484054,126.914611901419,무료,,"첫째, 셋째 금요일, 국가지정 공휴일",,02-809-8242,https://geumcheonlib.seoul.kr/geumcheonlib/uce/content/contentList.do?selfId=1122,46.1,양호
금천문화원,문화원,공연시설,서울특별시 금천구 시흥대로38길 61,금천구,시흥제3동,11180590,37.4463909881434,126.904469877153,무료,,"토,일요일, 공휴일",,02-896-8554,http://geumcheon.kccf.or.kr,13.8,양호
금천마을활력소 어울샘,기타,기타문화,서울특별시 금천구 탑골로 22 3층,금천구,시흥제5동,11180610,37.4518093222104,126.91164928524,무료,,"월요일, 일요일, 법정공휴일 및 기타 재단이 사전 공지한 날",,02-809-7860,http://www.eoulsam.com/,33.2,양호
금천정원지원센터,기타,기타문화,서울특별시 금천구 시흥대로40길 120,금천구,시흥제5동,11180610,37.4462867745134,126.909787407217,무료,,"매주 일요일, 월요일",,02-806-9419,없음,27.1,양호
만천명월예술인家,기타,기타문화,서울특별시 금천구 은행나무로 44,금천구,시흥제5동,11180610,37.4506976782696,126.907445405639,무료,,"토, 일요일 및 공휴일",,02-6953-3490,https://mcmw.art,28.4,양호
노원문화원,문화원,공연시설,서울특별시 노원구 동일로197길 24,노원구,공릉1동,11110790,37.6287989945413,127.069800913955,무료,,"토,일요일, 법정공휴일",,02-6380-0022,https://www.nwcc.or.kr/index.php,47.1,양호
서울생활사박물관,박물관/기념관,전시시설,서울특별시 노원구 동일로174길 27,노원구,공릉1동,11110790,37.6201739154268,127.076936195632,무료,09:00 ~ 18:00 (입장마감 : 17:30),"공휴일을 제외한 매주 월요일, 1월 1일 * 월요일이「관공서의 공휴일에 관한 규정」제2조에 따른 공휴일일 때에는 휴관하지 아니함",,02-3399-2900,https://museum.seoul.go.kr/sulm/index.do,29.0,양호
경춘선숲길 갤러리,미술관/갤러리,전시시설,서울특별시 노원구 화랑로 620,노원구,공릉2동,11110560,37.6250819894787,127.093707085206,무료,,매주 월요일 및 법정공휴일(일요일 제외),,02-2289-3490~3491 / 02-2289-3440,https://www.nowonarts.kr/html/cultureeducation/culturalfacility.php,33.2,양호
공릉청소년문화정보센터,기타,기타문화,서울특별시 노원구 노원로1나길 10,노원구,공릉2동,11110560,37.62146235791622,127.08300670832529,무료,,매주월요일,,02-973-1318,http://www.gycenter.or.kr/,54.1,양호
문화살롱 5120,기타,기타문화,"서울특별시 노원구 공릉로51길 20, 지하 1층",노원구,공릉2동,11110560,37.628392704654,127.075703075721,무료,,"매주 일요일, 월요일, 공휴일",,02-948-1217,https://www.salon5120.com,32.2,양호
서울과학기술대학교 미술관,미술관/갤러리,전시시설,서울특별시 노원구 공릉로 232,노원구,공릉2동,11110560,37.6330789279387,127.076794742851,무료,,"토 일, 국가 공휴일, 개교기념일",,02-910-6215,http://art.seoultech.ac.kr/,354.6,주의
육군박물관,박물관/기념관,전시시설,서울 노원구 공릉동 1-1,노원구,공릉2동,11110560,37.62276204272159,127.10038458310316,무료,10:00~17:00,"월요일, 신정, 설, 추석",,02-2197-6608,http://museum.kma.ac.kr,559.4,확인필요
노원중앙도서관,도서관,도서관,서울 노원구 노원로34길 43 노원중앙도서관,노원구,상계10동,11110740,37.6610997483415,127.065009597423,무료,,"매월 첫째, 셋째 월요일 및 일요일을 제외한 법정공휴일, 임시공휴일",,02-950-0050,https://www.nowonlib.kr/jungang,49.1,양호
상계예술마당,미술관/갤러리,전시시설,서울특별시 노원구 상계로10길 41-7,노원구,상계2동,11110660,37.6557775544452,127.068364829752,무료,,"1월1일, 설 추석연휴",,"02-2289-3462,3408",https://www.nowonarts.kr/html/cultureeducation/culturalfacility.php,30.7,양호
노원어린이극장,공연장,공연시설,서울특별시 노원구 노해로 502 B1,노원구,상계6.7동,11110770,37.6544500497108,127.063692307584,유료,,공연에 따라 상이,,02-2289-3453,https://www.nowonarts.kr/html/,37.3,양호
상계숲속작은도서관,도서관,도서관,서울 노원구 동일로227길 106 상계근린공원 내,노원구,상계8동,11110720,37.6694392381106,127.050440207059,무료,,주말 및 공휴일 휴관,,02-3391-7889,https://www.nowonlib.kr/NowonSmallLibrary,41.6,양호
노원문화의집,문화원,공연시설,서울특별시 노원구 동일로 1530-1(마들역) 지하1층 노원문화의집,노원구,상계9동,11110730,37.6650864331785,127.057687709213,무료,,"주말, 법정 공휴일",,02-936-3786~7,https://www.nowon.kr/www/info/info1/info1_07/info1_07_02.jsp,81.1,양호
광운대학교동해문화예술관,공연장,공연시설,서울특별시 노원구 광운로 20,노원구,월계1동,11110510,37.6193203481648,127.058338066917,유료,,공연일정에 따라 변동,,02-940-8614,http://dac.kw.ac.kr/main/main.php,38.1,양호
월계도서관,도서관,도서관,서울특별시 노원구 월계로 319,노원구,월계1동,11110510,37.6286377186897,127.05612282546,무료,,매주 월요일 및 법정공휴일,,02-991-0871,https://www.nowonlib.kr/,68.9,양호
인덕대학교 아정미술관,미술관/갤러리,전시시설,서울특별시 노원구 초안산로 12,노원구,월계2동,11110520,37.6302514486494,127.054448642206,무료,,"토?일요일, 법정 공휴일, 하계/동계 방학",,02-950-7331,http://www.seoulscm.com/museum/231,65.5,양호
서울시립 북서울미술관,미술관/갤러리,전시시설,서울특별시 노원구 동일로 1238,노원구,중계2.3동,11110780,37.6406604547872,127.066865579183,무료,평일(화~금) 오전 10시 ~ 오후 8시 (관람 종료 1시간 전까지 입장)<br>토 ? 일 ? 공휴일<br>   - 하절기(3~10월) 오전 10시~오후 7시<br>   - 동절기(11~2월) 오전 10시~오후 6시,"1월 1일 , 매주 월요일(월요일이 공휴일인 경우 정상 개관)",,02-2124-5201,https://sema.seoul.go.kr/kr/visit/bukseoul,67.1,양호
서울특별시교육청 노원평생학습관,도서관,도서관,서울 노원구 동일로204길 13 노원평생학습관,노원구,중계2.3동,11110780,37.6395138569616,127.067821262987,무료,,"매월 둘째?넷째 월요일, 일요일을 제외한 법정공휴일(공휴일과 일요일이 겹칠 경우 휴관)",,02-979-1741,http://nwllc.sen.go.kr/,40.3,양호
노원수학문화관,기타,기타문화,서울특별시 노원구 한글비석로19길 28,노원구,중계4동,11110640,37.6578302271754,127.072350210885,무료,,"매주 월요일 (월요일이 공휴일인 경우 화요일 휴관), 1월1일, 설날(당일), 추석(당일)",,02-2116-2181,https://www.nowon.kr/math/main,27.4,양호
노원어린이도서관,도서관,도서관,서울 노원구 한글비석로 346 노원어린이도서관,노원구,중계4동,11110640,37.6579494099946,127.076379050006,무료,평일 : 오전9시~오후6시  주말: 오전9시~오후5시,매주 월요일 및 법정공휴일,,02-933-7145,https://www.nowonlib.kr/LocationHours?code=MB&page=1,22.8,양호
노원문화예술회관,문화예술회관,공연시설,서울 노원구 중계로 181 노원문화예술회관,노원구,중계본동,11110600,37.6502368524442,127.080267103033,유료,,행사 일정에 따름,,02-2289-3425,https://www.nowonarts.kr/,48.1,양호
문화공간 정담,기타,기타문화,서울특별시 노원구 중계로 169,노원구,중계본동,11110600,37.6501722795275,127.080886310499,무료,,"월요일, 공휴일 휴관",,02-2289-3463,https://www.nowonarts.kr/html/cultureeducation/culturalfacility.php,16.8,양호
불암도서관,도서관,도서관,서울 노원구 중계로 106 불암도서관,노원구,중계본동,11110600,37.6452921261057,127.082544741726,무료,,매주 월요일 및 법정공휴일,,02-935-0721,https://nowonlib.kr/buram,35.8,양호
서울시립과학관,기타,기타문화,서울특별시 노원구 한글비석로 160,노원구,하계1동,11110580,37.6419941138165,127.07743706477,무료,,"매주 월, 1월1일, 설날 및 추석당일",,02-970-4500,http://science.seoul.go.kr,150.8,양호
김근태기념도서관,도서관,도서관,서울특별시 도봉구 도봉산길 14,도봉구,도봉제1동,11100640,37.6876674374375,127.044019937677,무료,,매주 월요일 및 공휴일,,02-956-3100,https://www.geuntae.co.kr/,60.2,양호
청소년 예술공간 채움,기타,기타문화,서울특별시 도봉구 도봉로 955 광역환승센터 1층,도봉구,도봉제1동,11100640,37.6897506980596,127.04491945608,무료,,"매주 일요일, 월요일 및 공휴일",,02-3491-2312,https://www.dbfac.or.kr/front/cultureplace/youthart.do,51.7,양호
도봉기적의도서관,도서관,도서관,서울 도봉구 마들로 797 도봉기적의도서관,도봉구,도봉제2동,11100650,37.6808029698392,127.050132749664,무료,,"매주화요일,법정공휴일",,02-3493-7171,http://www.unilib.dobong.kr/contents.do?idx=65,49.3,양호
평화문화진지,기타,기타문화,서울특별시 도봉구 마들로 932,도봉구,도봉제2동,11100650,37.690780138783,127.046812594303,무료,,"매주 월요일, 1월1일, 설날/추석 당일 *단, 월요일이 공휴일인 경우 그 다음 평일 휴관",,02-3494-1970,https://culturebunker.or.kr/,17.8,양호
씨알방학간,기타,기타문화,서울특별시 도봉구 도봉로 666(구 소방학교),도봉구,방학제1동,11100550,37.6640064725024,127.043019014157,무료,,"매주 토, 일 및 공휴일",,070-4159-9617,https://www.dbfac.or.kr/front/cultureplace/ssial.do,56.4,양호
마을극장 흰고무신,기타,기타문화,서울 도봉구 시루봉로15마길 13 2층,도봉구,방학제2동,11100560,37.6681272209585,127.031542795166,무료,,"일-월, 공휴일 휴무",,02-955-0110,https://blog.naver.com/dbfac_place/223037311345,52.7,양호
간송옛집,박물관/기념관,전시시설,서울특별시 도봉구 시루봉로 149-18,도봉구,방학제3동,11100570,37.6648929195749,127.028186809295,무료,,"매주 일?월, 공휴일, 간송미술문화재단 요청 시",,02-954-5757 ,http://www.kansonghouse.kr/,36.7,양호
김수영문학관,박물관/기념관,전시시설,서울특별시 도봉구 해등로32길 80,도봉구,방학제3동,11100570,37.6599237129724,127.023801597762,무료,,"매주 월 (월요일이 공휴일인 경우 그 다음날), 1월 1일, 설날 및 추석 연휴",,02-3494-1127~8,http://kimsuyoung.dobong.go.kr/,62.7,양호
원당마을한옥도서관,도서관,도서관,서울특별시 도봉구 해등로32가길 17,도봉구,방학제3동,11100570,37.6602917907669,127.021798339761,무료,,"매주화요일,법정공휴일, 기타 도서관장이 정하는 날",,02-906-2022,http://www.unilib.dobong.kr/,28.6,양호
학마을도서관,도서관,도서관,서울특별시 도봉구 시루봉로 128,도봉구,방학제3동,11100570,37.6621597877574,127.027831490119,무료,,매주 월요일 / 법정 공휴일,,02-955-0655,http://www.dbfac.or.kr/front/cultureplace/hakmaeul.do,28.4,양호
덕성여자대학교 박물관,박물관/기념관,전시시설,서울특별시 도봉구 삼양로144길 33,도봉구,쌍문제1동,11100510,37.65276133230196,127.01656184686124,무료,월~금 10:00~16:00,"토?일, 법정공휴일, 기타 정부나 대학에서 임시휴일로 정하는 날",,02-901-8131,https://www.duksung.ac.kr/contents/contents.do?ciIdx=119&menuId=1044,64.1,양호
둘리뮤지엄,박물관/기념관,전시시설,서울특별시 도봉구 시루봉로1길 6,도봉구,쌍문제1동,11100510,37.6524298578984,127.027638500056,유료,,"1월 1일, 설날 및 추석 당일, 월(월요일이 공휴일인 경우에는 그 다음 날 휴관)",,02-990-2200,https://www.doolymuseum.or.kr,48.1,양호
서울특별시교육청 도봉도서관,도서관,도서관,서울 도봉구 삼양로 556 도봉도서관,도봉구,쌍문제1동,11100510,37.6525474596619,127.012772246644,유료,,"매월 두 번째, 네 번째 수요일 법정 공휴일(국경일 등 관공서의 휴무일)",,02-6714-7400,http://dblib.sen.go.kr/,35.6,양호
함석헌기념관,박물관/기념관,전시시설,서울특별시 도봉구 도봉로123길 33-6,도봉구,쌍문제2동,11100520,37.6529616157973,127.034796402967,무료,,"매주 월요일, 1월 1일, 설날 연휴, 추석 연휴",,02-905-7007,http://hamsokhon.dobong.go.kr/,35.8,양호
극단 대학로극장,공연장,공연시설,서울특별시 도봉구 도봉로115길 9,도봉구,쌍문제3동,11100530,37.6485604897867,127.033882167876,유료,,홈페이지 참조,,0507-1367-9594,https://dtheater89.modoo.at/,34.9,양호
쌍문채움도서관,도서관,도서관,서울 도봉구 우이천로 340 쌍문채움도서관,도봉구,쌍문제3동,11100530,37.6470421197696,127.026230185925,무료,,"매주 월요일, 법정공휴일",,02-998-0910,http://www.unilib.dobong.kr/contents.do?idx=291,62.5,양호
도봉문화정보도서관,도서관,도서관,서울 도봉구 덕릉로 315 도봉문화정보도서관,도봉구,창제1동,11100590,37.6446909352991,127.043768286365,유료,프로그램 일정에 따라 다름,"매주 화요일, 법정공휴일",문화시청각실60석,02-900-1835,http://www.unilib.dobong.kr/contents.do?idx=63,54.1,양호
도봉아이나라도서관,도서관,도서관,서울특별시 도봉구 노해로69길 151,도봉구,창제4동,11100620,37.6590571,127.049575,유료,프로그램 일정에 따라 다름,"매주 화요일, 법정공휴일",다목적강당 95석,02-995-4171,http://www.kidlib.dobong.kr/,32.3,양호
서울로봇인공지능과학관,기타,기타문화,서울특별시 도봉구 마들로13길 56,도봉구,창제4동,11100620,37.6555838047766,127.049506212905,무료,,매주 월요일,,02-920-4301,https://science.seoul.go.kr/RAIM/index.do,38.5,양호
서울시립 사진미술관,미술관/갤러리,전시시설,서울 도봉구 마들로13길 68 (창동)서울시립 사진미술관,도봉구,창제4동,11100620,37.6555150225578,127.048947814686,무료,① 평일(화-금) 오전 10시 - 오후 8시<br>② 토 ? 일 ? 공휴일<br>- 하절기(3-10월) 오전 10시-오후 7시<br>- 동절기(11-2월) 오전 10시-오후 6시,"1월1일 , 매주 월요일 (단, 월요일이 공휴일인 경우 정상 개관)",,02-2124-7600,https://sema.seoul.go.kr/kr/visit/photosema,64.8,양호
창동문화체육센터,기타,기타문화,서울특별시 도봉구 노해로69길 132,도봉구,창제4동,11100620,37.65800441752016,127.05048800126988,유료,,"1, 3, 5주 일요일 및 법정공휴일(대체휴일포함)",,02-901-5046,https://www.dobongsiseol.or.kr/index_sport.html,170.2,양호
도봉구민회관,기타,기타문화,서울특별시 도봉구 도봉로 552,도봉구,창제5동,11100630,37.65419780351007,127.03844201600822,유료,공연에 따라 다름/09시~22시,프로그램별 상이,대강당 600석/소공연장 190석,02-901-5160~1,https://www.dobongsiseol.or.kr/index_hall.html,45.6,양호
도봉문화원,문화원,공연시설,서울 도봉구 도봉로 552 도봉구민회관,도봉구,창제5동,11100630,37.654199284867,127.038870491264,유료,,일요일 및 법정공휴일,,02-905-4026,https://www.dobong.or.kr/main/index.php,23.6,양호
동대문구답십리도서관,도서관,도서관,서울 동대문구 서울시립대로4길 75 동대문구 답십리 도서관,동대문구,답십리제1동,11060910,37.5731929971065,127.050360280191,무료,,"매주 금요일 및 법정공휴일, 도서관 사정에 의한 임시 휴관일",,02-982-1959,https://l4d.or.kr/dsn/index.do,41.3,양호
답십리영화미디어아트센터,기타,기타문화,서울특별시 동대문구 답십리로 210-9,동대문구,답십리제2동,11060860,37.5717963732602,127.063764029874,무료,,"매주 월요일(공휴일인 경우에는 그 다음날을 휴관일로 함), 1월 1일, 설연휴, 추석연휴",,02-2247-4007,http://dsnfilmart.or.kr/,81.6,양호
동대문문화원,문화원,공연시설,서울 동대문구 왕산로 128 (동의보감타워) 지하2층,동대문구,신설동,11060810,37.5778202033957,127.037630755836,무료,,"매주 토요일, 일요일",,02-2241-9300,https://dongdaemun.kccf.or.kr:,70.0,양호
서울특별시교육청 동대문도서관,도서관,도서관,서울 동대문구 천호대로4길 22 동대문도서관,동대문구,신설동,11060810,37.5738565548699,127.024185212313,무료,,"매월 두번째,네번째 수요일 | 일요일을 제외한 법정공휴일",,02-2170-1000,http://ddmlib.sen.go.kr/,21.5,양호
서울풍물시장 전통문화체험관,기타,기타문화,서울특별시 동대문구 천호대로4길 21,동대문구,신설동,11060810,37.5727131853349,127.025502937291,무료,,매주 화요일,,02-2232-3368,http://www.pungmul.or.kr,56.0,양호
서울풍물시장 청춘일번가,기타,기타문화,서울특별시 동대문구 천호대로4길 21,동대문구,신설동,11060810,37.5727131853349,127.025502937291,무료,,매주 화요일,,070-7726-5945,http://www.pungmul.or.kr,56.0,양호
용두어린이영어도서관,도서관,도서관,서울특별시 동대문구 무학로 133,동대문구,신설동,11060810,37.5761044697075,127.0303278555,무료,,"매주 금요일 및 법정공휴일, 도서관 사정에 의한 임시 휴관일",,02-921-1959,https://www.l4d.or.kr/yelc/index.do,81.5,양호
용두어울림작은도서관,도서관,도서관,서울특별시 동대문구 무학로 89,동대문구,신설동,11060810,37.57230934363784,127.030156178585,무료,,법정공휴일 및 도서관 사정에 의한 임시 휴관일,,02-953-2223,https://www.l4d.or.kr/small,36.6,양호
경희대학교 자연사박물관,박물관/기념관,전시시설,서울특별시 동대문구 경희대로 26,동대문구,이문제1동,11060890,37.59782541765426,127.0552089479752,무료,월~토 10:00~16:00,"토?일, 공휴일, 개교기념일",,02-961-0143,http://nhm.khu.ac.kr,47.6,양호
경희대학교 중앙박물관,박물관/기념관,전시시설,서울특별시 동대문구 경희대로 26,동대문구,이문제1동,11060890,37.59713729362956,127.05272856110398,무료,매주 화수목금10:00~17:00,"토?일, 공휴일 (이 외 일정 인스타그램 공지)",,02-961-0141,http://museum.khu.ac.kr,177.0,양호
경희대학교한의학역사박물관,박물관/기념관,전시시설,서울특별시 동대문구 경희대로 26,동대문구,이문제1동,11060890,37.59583018210771,127.05421667214812,무료,,"토?일, 공휴일",,02-961-2274,https://neoscholar.khu.ac.kr/museumkm/user/main/view.do,203.6,주의
이문어린이도서관,도서관,도서관,서울특별시 동대문구 천장산로9길 68,동대문구,이문제1동,11060890,37.5988944435051,127.053843621108,무료,,"매주 월요일 및 법정공휴일, 도서관 사정에 의한 임시 휴관일",,02-968-7530,https://www.l4d.or.kr/imc/index.do,17.4,양호
이문체육문화센터,기타,기타문화,서울특별시 동대문구 한천로58길 81-49,동대문구,이문제2동,11060900,37.60227815080871,127.06885250776844,유료,평일:06:00~22:00 / 토:06:00~18:00 / 일:09:00~18:00,"넷째주 일요일, 법정공휴일 휴관",,02-963-0536,https://www.dfmc.kr:8443/course/sports/fmcs/125,120.8,양호
장안어린이도서관,도서관,도서관,서울특별시 동대문구 장한로26다길 10,동대문구,장안제2동,11060880,37.571244986067,127.073201039917,무료,,"매주 금요일, 일요일을 제외한 법정공휴일, 도서관 사정에 의한 임시 휴관일",,02-2249-1959,https://www.l4d.or.kr/jac/index.do,88.9,양호
동대문구 아르코,기타,기타문화,서울특별시 동대문구 왕산로 200 타워동 5층,동대문구,전농제1동,11060830,37.5798901828732,127.04616117771,무료,,"매주 주말, 공휴일 등",,02-6956-0871,https://ddmac.or.kr/,70.0,양호
배봉산숲속도서관,도서관,도서관,서울특별시 동대문구 전농로16길 97,동대문구,전농제2동,11060840,37.578443110427,127.06273508839,무료,,"매주 월요일, 법정 공휴일, 도서관 사정에 의한 임시 휴관일",,02-2215-1959,https://l4d.or.kr/bfl/index.do,30.1,양호
서울시립대학교 박물관,박물관/기념관,전시시설,서울특별시 동대문구 서울시립대로 163,동대문구,전농제2동,11060840,37.5825775765293,127.059988126984,무료,평일 10:00~17:00,"토요일, 일요일, 공휴일",,02-6490-6587,https://www.uos.ac.kr/kor/html/auos/guide/map/map_view29.do?epTicket=LOG,296.1,주의
고갤러리,미술관/갤러리,전시시설,서울특별시 동대문구 안암로20길 19,동대문구,제기동,11060820,37.5873248786113,127.035279851633,무료,,상시 변동,,02-927-9590,https://www.instagram.com/gogallery.kr/,34.0,양호
더 윌로,미술관/갤러리,전시시설,"서울시 동대문구 고산자로36길 38, 2층",동대문구,제기동,11060820,37.5792710720991,127.040626893582,무료,,월요일 휴관,,070-8833-1767,https://thewillow1955.com/,42.2,양호
블루라움 안암점,기타,기타문화,서울특별시 동대문구 안암로 86-1 B1 블루라움,동대문구,제기동,11060820,37.58348608726266,127.03050316419218,유료,,연중무휴,,02-953-0415,https://blueraum.kr/,70.4,양호
서울약령시한의약박물관,박물관/기념관,전시시설,서울특별시 동대문구 약령중앙로 26,동대문구,제기동,11060820,37.5806004145096,127.037586644096,무료,3월~10월 10:00~18:0011월~2월 10:00~17:00,"1월 1일, 설날, 추석, 그 밖에 동대문구청장이 필요하다고 인정하는 경우",,02-969-9241,http://museum.ddm.go.kr/,51.0,양호
서울한방진흥센터,박물관/기념관,전시시설,서울특별시 동대문구 약령중앙로 26,동대문구,제기동,11060820,37.5806004145096,127.037586644096,유료,,"1월 1일, 설날, 추석, 동대문구청장이 인정하는 휴관일",,029699241,http://kmedi.ddm.go.kr,51.0,양호
선농단역사문화관,기타,기타문화,서울특별시 동대문구 무학로44길 38,동대문구,제기동,11060820,37.5811837728607,127.031888509482,무료,,"매주 월요일, 공휴일",,02-3295-5562,https://ddmac.or.kr/sub03/sub07.php,55.1,양호
제기동감초마을현진건기념도서관,도서관,도서관,서울특별시 동대문구 약령시로9길 45,동대문구,제기동,11060820,37.5850973113942,127.035120181597,무료,,"매주 금요일 및 법정 공휴일, 도서관 사정에 의한 임시 휴관일",,02-928-3141,https://www.l4d.or.kr/jghl/index.do,17.5,양호
KOCCA 콘텐츠문화광장,공연장,공연시설,서울특별시 동대문구 회기로 66,동대문구,청량리동,11060800,37.5907260121955,127.04489735201,무료,,정보없음,,02-6310-0720,https://edu.kocca.kr/testbed/main/main.do,135.6,양호
김희수아트센터,박물관/기념관,전시시설,"서울특별시 동대문구 홍릉로 118, 김희수아트센터 1층",동대문구,청량리동,11060800,37.59070597134996,127.04281951646152,유료,,일요일 (이외 홈페이지 참조),,02-962-7911,http://www.soorimcf.or.kr/index.html,20.0,양호
동대문구정보화도서관,도서관,도서관,서울특별시 동대문구 회기로10길 60,동대문구,청량리동,11060800,37.5899695058832,127.047289694219,무료,,"매주 월요일, 도서관 사정에 의한 임시 휴관일, 법정 공휴일",,02-960-1959,https://l4d.or.kr/info/index.do,35.3,양호
세종대왕기념관,박물관/기념관,전시시설,서울특별시 동대문구 회기로 56,동대문구,청량리동,11060800,37.5909928893989,127.042703170101,유료,09:00 ~ 18:00,매주 주말 및 공휴일 ,,02-969-8851,http://sejongkorea.org/main/main.html,46.3,양호
휘경행복도서관,도서관,도서관,서울특별시 동대문구 장안벚꽃로 323,동대문구,휘경제2동,11060730,37.5871742821863,127.069938991404,무료,,"매주 금요일, 법정 공휴일, 도서관 사정에 의한 임시 휴관일",,02-2249-9701,https://www.l4d.or.kr/hgh/index.do,47.7,양호
동작영어마루도서관,도서관,도서관,서울 동작구 장승배기로16길 98 동작영어마루도서관,동작구,노량진제1동,11200720,37.5092044296488,126.943431510006,무료,,"매주 월요일, 법정공휴일",,02-823-6750,https://lib.dongjak.go.kr/dj/html.do?menu_idx=78,57.5,양호
본동어울마당 아트홀,공연장,공연시설,서울특별시 동작구 노량진로32길 79,동작구,노량진제1동,11200720,37.5105308023837,126.956894813525,무료,,매주 월요일,,070-7204-3272,https://idfac.or.kr/sub_new/menu02_07_01.php,47.1,양호
사육신역사관,박물관/기념관,전시시설,서울특별시 동작구 노량진로 191,동작구,노량진제1동,11200720,37.5134579901091,126.949411135441,무료,,"매주 일, 월요일/법정공휴일",,070-7204-3258,https://www.instagram.com/sayuksin_hh/,26.7,양호
CTS 아트홀,공연장,공연시설,서울특별시 동작구 노량진로 100 기독교TV멀티미디어센터 지하 2층,동작구,노량진제2동,11200520,37.5129486320073,126.937000804909,유료,,연중무휴,,02-6333-1069,http://rent.ctsart.co.kr/,88.0,양호
서울특별시교육청 동작도서관,도서관,도서관,서울 동작구 장승배기로 94 서울특별시립 동작도서관,동작구,노량진제2동,11200520,37.5059684516068,126.940102858481,무료,,"매월 둘째, 넷째 금요일 국경일, 정부지정 공휴일 및 대체공휴일",,02-823-6417,http://djlib.sen.go.kr/,44.5,양호
대방어린이도서관,도서관,도서관,서울특별시 동작구 대방동길 55,동작구,대방동,11200680,37.5030254852903,126.925222696163,무료,,"매주 월요일, 법정공휴일",,02-813-6740,https://lib.dongjak.go.kr/dj/html.do?menu_idx=79,76.1,양호
서울여성플라자,기타,기타문화,서울특별시 동작구 여의대방로54길 18,동작구,대방동,11200680,37.5116087174603,126.927226422645,무료,,주말 및 공휴일,,02-810-5264,https://www.seoulwomen.or.kr/sfwf/main/index.do,39.2,양호
다울작은도서관,도서관,도서관,서울특별시 동작구 사당로20길 132,동작구,사당제1동,11200630,37.4788880398112,126.973244193959,무료,,"매주 월요일, 법정 공휴일",,02-3473-3360,https://lib.dongjak.go.kr/dj/html.do?menu_idx=83,18.6,양호
구립동작샘터도서관,도서관,도서관,서울특별시 동작구 동작대로29길 63-26,동작구,사당제2동,11200730,37.4883865575463,126.97754636635,무료,,"매주 월요일, 법정공휴일",,02-533-6750,https://lib.dongjak.go.kr/dj/html.do?menu_idx=80,104.6,양호
표현하다 스튜디오,기타,기타문화,"서울특별시 동작구 사당로17길 83, 지하1층",동작구,사당제3동,11200650,37.4864364917903,126.971995253767,유료,,"매주 토, 일요일, 공휴일",,070-8648-1616,http://schoolofph.com/,60.7,양호
